expediente;fecha_audiencia;hora
00397-2015-0-3301-JR-FC-01_57;2019-01-22;10:06
01927-2017-0-3301-JR-FC-01_57;2019-01-18;08:30
00640-2018-0-3301-JR-FC-01_57;2019-01-17;11:30
00640-2018-0-3301-JR-FC-01_57;2019-01-17;10:30
01583-2017-0-3301-JR-FC-01_57;2019-01-16;08:45
01818-2017-0-3301-JR-FC-01_57;2019-01-15;11:30
00932-2018-0-3301-JR-FC-01_57;2019-01-15;11:00
00948-2018-0-3301-JR-FC-01_57;2019-01-14;11:00
01196-2018-0-3301-JR-FC-01_57;2019-01-14;10:00
01273-2018-0-3301-JR-FC-01_57;2019-01-10;11:30
00130-2018-0-3301-JR-FC-01_57;2019-01-10;11:00
00855-2016-0-3301-JR-FC-01_57;2019-01-08;11:00
00597-2017-0-3301-JR-FC-01_57;2019-01-08;10:00
01451-2018-0-3301-JR-FC-01_57;2019-01-07;11:00
01948-2017-0-3301-JR-FP-01_58;2019-01-29;15:00
00679-2018-0-3301-JR-FC-01_58;2019-01-28;11:00
01121-2018-0-3301-JR-FP-01_58;2019-01-28;10:00
01619-2018-0-3301-JR-FP-01_58;2019-01-24;10:00
01622-2017-0-3301-JR-FC-01_58;2019-01-24;09:15
01523-2017-0-3301-JR-FP-01_58;2019-01-22;11:00
01272-2018-0-3301-JR-FC-01_58;2019-01-22;10:00
01948-2017-0-3301-JR-FP-01_58;2019-01-21;15:00
00058-2018-0-3301-JR-FC-01_58;2019-01-21;10:00
01945-2017-0-3301-JR-FC-01_58;2019-01-21;09:00
02012-2018-0-3301-JR-FP-01_58;2019-01-17;11:00
01795-2018-0-3301-JR-FC-01_58;2019-01-17;10:00
00551-2017-0-3301-JR-FC-01_58;2019-01-15;10:00
02338-2017-0-3301-JR-FC-01_58;2019-01-14;10:00
00849-2018-0-3301-JR-FC-01_58;2019-01-10;11:00
00652-2017-0-3301-JR-FC-01_58;2019-01-08;11:00
01300-2018-0-3301-JR-FP-01_58;2019-01-08;10:00
01123-2017-0-3301-JR-FC-01_58;2019-01-07;11:00
00143-2018-0-3301-JR-FC-01_59;2019-01-30;09:20
