expediente;faudiencia;hora
01043-2018-0-3301-JR-FC-01_57;2019-03-05;11:30
00150-2017-0-3301-JR-FC-01_57;2019-03-05;10:06
00734-2016-0-3301-JR-FC-01_57;2019-03-05;10:00
00285-2016-0-3301-JR-FC-01_57;2019-03-05;10:00
00112-2019-0-3301-JR-FT-01_57;2019-02-11;10:00
00385-2018-0-3301-JR-FP-01_58;2019-03-06;08:00
01680-2018-0-3301-JR-FP-01_58;2019-03-05;15:00
02258-2018-0-3301-JR-FP-01_58;2019-03-05;14:30
01232-2016-0-3301-JR-FC-01_58;2019-03-05;11:36
00908-2018-0-3301-JR-FC-01_58;2019-03-05;10:00
00306-2019-0-3301-JR-FT-01_58;2019-03-05;09:00
00621-2018-0-3301-JR-FC-01_58;2019-03-04;10:00
00048-2016-0-3301-JR-FP-01_62;2019-03-05;10:24
00767-2018-0-3301-JR-FP-01_59;2019-03-06;11:30
00723-2018-0-3301-JR-FP-01_59;2019-03-06;09:30
00195-2017-0-3301-JR-CI-01_59;2019-03-05;11:30
00015-2018-0-3301-JR-CI-01_59;2019-03-05;10:30
00359-2018-0-3301-JR-FP-01_60;2019-03-06;11:00
00043-2018-0-3301-JR-CI-01_60;2019-03-06;10:00
00369-2017-0-3301-JR-FP-01_60;2019-03-05;10:18
00082-2019-0-3301-JR-FP-01_60;2019-02-28;10:00
00082-2019-0-3301-JR-FP-01_60;2019-02-21;10:00
00664-2018-0-3301-JR-FP-01_61;2019-03-05;10:00
00788-2018-0-3301-JR-FC-01_61;2019-03-05;09:00
00130-2019-0-3301-JR-FT-01_61;2019-02-18;18:06
00129-2019-0-3301-JR-FT-01_61;2019-02-18;18:01
00138-2019-0-3301-JR-FT-01_61;2019-02-18;17:56
00137-2019-0-3301-JR-FT-01_61;2019-02-18;17:51
00136-2019-0-3301-JR-FT-01_61;2019-02-18;17:46
00140-2019-0-3301-JR-FT-01_61;2019-02-18;17:41
00135-2019-0-3301-JR-FT-01_61;2019-02-18;17:36
00134-2019-0-3301-JR-FT-01_61;2019-02-18;17:31
00131-2019-0-3301-JR-FT-01_61;2019-02-18;17:26
00126-2019-0-3301-JR-FT-01_61;2019-02-18;17:21
00125-2019-0-3301-JR-FT-01_61;2019-02-18;17:16
00122-2019-0-3301-JR-FT-01_61;2019-02-18;17:11
00123-2019-0-3301-JR-FT-01_61;2019-02-18;17:06
00124-2019-0-3301-JR-FT-01_61;2019-02-18;17:00
00117-2019-0-3301-JR-FT-01_61;2019-02-11;12:00
00119-2018-0-3301-JR-FT-01_61;2019-02-11;11:45
00116-2019-0-3301-JR-FT-01_61;2019-02-11;11:30
00115-2019-0-3301-JR-FT-01_61;2019-02-11;11:00
00114-2019-0-3301-JR-FT-01_61;2019-02-11;10:45
00118-2019-0-3301-JR-FT-01_61;2019-02-11;10:30
00120-2019-0-3301-JR-FT-01_61;2019-02-11;10:15
00108-2019-0-3301-JR-FT-01_61;2019-02-11;09:45
00111-2019-0-3301-JR-FT-01_61;2019-02-11;09:30
00109-2019-0-3301-JR-FT-01_61;2019-02-11;09:15
00103-2019-0-3301-JR-FT-01_61;2019-02-11;09:00
00102-2019-0-3301-JR-FT-01_61;2019-02-11;08:45
00106-2019-0-3301-JR-FT-01_61;2019-02-11;08:30
