id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;c_instancia;id_modulo
140;-;2018-10-12;2018-10-15;23844-2018-0-0906-JR-FC-09;Ha lugar;13:13;2018-10-15;;;;48;20
140;-;2018-10-12;2018-10-15;23853-2018-0-0906-JR-FC-14;Ha lugar;14:14;2018-10-15;;;;53;20
140;3353-2018;2018-10-12;2018-10-15;23854-2018-0-0906-JR-FC-17;Ha lugar;10:12;2018-10-22;;;2018-12-11;56;20
140;33-2018;2018-10-12;2018-10-15;23855-2018-0-0906-JR-FC-13;Ha lugar;19:11;2018-11-13;;;;52;20
140;-;2018-10-12;2018-10-15;23856-2018-0-0906-JR-FC-15;Ha lugar;16:49;2018-10-30;;;;54;20
140;3389-2018;2018-10-12;2018-10-15;23857-2018-0-0906-JR-FC-10;Ha lugar;15:10;2018-10-15;;;;49;20
140;3367-2018;2018-10-12;2018-10-15;23858-2018-0-0906-JR-FC-16;Ha lugar;15:18;2018-10-15;;;;55;20
140;3369-2018;2018-10-12;2018-10-15;23859-2018-0-0906-JR-FC-09;Ha lugar;11:43;2018-10-25;;;2018-12-04;48;20
140;3323-2018;2018-10-12;2018-10-15;23861-2018-0-0906-JR-FC-14;Ha lugar;11:14;2018-10-18;;;;53;20
140;3324-2018;2018-10-12;2018-10-15;23862-2018-0-0906-JR-FC-10;Ha lugar;10:50;2018-10-22;;;;49;20
140;3325-2018;2018-10-12;2018-10-15;23863-2018-0-0906-JR-FC-17;Ha lugar;15:34;2018-10-15;;;;56;20
140;3367-2018;2018-10-12;2018-10-15;23864-2018-0-0906-JR-FC-16;Ha lugar;12:39;2018-11-06;;;;55;20
140;3397-2018;2018-10-12;2018-10-15;23865-2018-0-0906-JR-FC-13;Ha lugar;15:38;2018-10-15;;;;52;20
140;1475-2018;2018-10-12;2018-10-15;23866-2018-0-0906-JR-FC-15;Ha lugar;18:45;2018-10-18;;;;54;20
140;3363-2018;2018-10-12;2018-10-15;23867-2018-0-0906-JR-FC-09;Ha lugar;12:23;2018-11-06;;;;48;20
140;3344-2018;2018-10-12;2018-10-15;23868-2018-0-0906-JR-FC-14;Ha lugar;19:06;2018-10-18;;;;53;20
140;1474-2018;2018-10-12;2018-10-15;23869-2018-0-0906-JR-FC-10;Ha lugar;17:55;2018-11-03;;;;49;20
140;-;2018-10-12;2018-10-15;23871-2018-0-0906-JR-FC-13;Ha lugar;12:42;2018-10-17;;;;52;20
140;-;2018-10-12;2018-10-15;23875-2018-0-0906-JR-FC-16;Ha lugar;18:15;2018-10-19;;;;55;20
