id_comisaria;oficio;fecha_denuncia;fecha_formalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;c_instancia;asistencialegal;psicologia;id_modulo;medida_file
48; 5349-2018;2018-12-29;2019-01-03;00134-2019-0-0906-JR-FC-13;;;;;;;;52;0;0;20;
48; 5338-2018;2018-12-28;2019-01-03;00135-2019-0-0906-JR-FC-09;;;;;;;;48;0;0;20;
48; 5339-2018;2018-12-28;2019-01-03;00137-2019-0-0906-JR-FC-14;;;;;;;;53;0;0;20;
25; 0009-2018;2018-01-02;2019-01-03;00139-2019-0-0906-JR-FC-10;;;;;;;;49;0;0;20;
25; 027-2018;2018-01-01;2019-01-03;00140-2019-0-0906-JR-FC-11;;;;;;;;50;0;0;20;
48; 5341-2018;2018-12-30;2019-01-03;00141-2019-0-0906-JR-FC-15;;;;;;;;54;0;0;20;
49; 012-2019;2019-01-01;2019-01-03;00142-2019-0-0906-JR-FC-12;;;;;;;;51;0;0;20;
89; 149-2018;;2019-01-03;00143-2019-0-0906-JR-FC-13;;;;;;;;52;0;0;20;
140; 2068-2018;;2019-01-03;00144-2019-0-0906-JR-FC-17;;;;;;;;56;0;0;20;
89; 148-2018;2018-12-18;2019-01-03;00145-2019-0-0906-JR-FC-16;;;;;;;;55;0;0;20;
48; 5340-2018;2018-12-28;2019-01-03;00146-2019-0-0906-JR-FC-10;;;;;;;;49;0;0;20;
48; 5318-2018;2018-12-19;2019-01-03;00147-2019-0-0906-JR-FC-14;;;;;;;;53;0;0;20;
140; 606020616-2018-286-0;;2019-01-03;00148-2019-0-0906-JR-FC-11;;;;;;;;50;0;0;20;
48; 5335-2018;2018-12-30;2019-01-03;00149-2019-0-0906-JR-FC-09;;;;;;;;48;0;0;20;
140;;2018-01-03;2019-01-03;00150-2019-0-0906-JR-FC-15;;;;;;;;54;0;0;20;
48; 5332-2018;2018-12-29;2019-01-03;00151-2019-0-0906-JR-FC-12;;;;;;;;51;0;0;20;
140; 2084-2018;;2019-01-03;00152-2019-0-0906-JR-FC-13;;;;;;;;52;0;0;20;
140;;2019-01-03;2019-01-03;00153-2019-0-0906-JR-FC-17;;;;;;;;56;0;0;20;
48;;2019-12-23;2019-01-03;00154-2019-0-0906-JR-FC-16;;;;;;;;55;0;0;20;
32; 4520-2018;2018-12-29;2019-01-03;00155-2019-0-0906-JR-FC-14;;;;;;;;53;0;0;20;
119; 3839-2018;2018-12-12;2019-01-03;00156-2019-0-0906-JR-FC-09;;;;;;;;48;0;0;20;
119; 3041-2018;2018-12-26;2019-01-03;00157-2019-0-0906-JR-FC-10;;;;;;;;49;0;0;20;
119; 3844-2018;2018-12-26;2019-01-03;00158-2019-0-0906-JR-FC-11;;;;;;;;50;0;0;20;
32; 4521-2018;2018-12-29;2019-01-03;00159-2019-0-0906-JR-FC-15;;;;;;;;54;0;0;20;
119; 3843-2018;2018-12-26;2019-01-03;00160-2019-0-0906-JR-FC-12;;;;;;;;51;0;0;20;
119; 3803-2018;2018-12-18;2019-01-03;00161-2019-0-0906-JR-FC-13;Ha lugar;08:00;2019-01-14;;;;;52;0;0;20;
30; 3988-2018;2018-12-31;2019-01-03;00162-2019-0-0906-JR-FC-17;;;;;;;;56;0;0;20;
48; 5328-2018;2018-12-28;2019-01-03;00163-2019-0-0906-JR-FC-16;;;;;;;;55;0;0;20;
30; 3987-2018;2018-12-31;2019-01-03;00164-2019-0-0906-JR-FC-10;;;;;;;;49;0;0;20;
48; 5327-2018;2018-12-28;2019-01-03;00165-2019-0-0906-JR-FC-14;;;;;;;;53;0;0;20;
119; 3851-2018;2018-12-27;2019-01-03;00166-2019-0-0906-JR-FC-11;;;;;;;;50;0;0;20;
48; 5348-2018;2018-12-31;2019-01-03;00167-2019-0-0906-JR-FC-09;;;;;;;;48;0;0;20;
30; 39-2019;2019-01-02;2019-01-03;00168-2019-0-0906-JR-FC-15;;;;;;;;54;0;0;20;
32; 4522-2018;2018-12-29;2019-01-03;00170-2019-0-0906-JR-FC-12;;;;;;;;51;0;0;20;
119; 3853-2018;2018-12-26;2019-01-03;00171-2019-0-0906-JR-FC-13;Ha lugar;09:00;2019-01-14;;;;;52;0;0;20;
30; 29-2019;2019-01-02;2019-01-03;00172-2019-0-0906-JR-FC-16;Ha lugar;10:00;2019-01-14;;;;;55;0;0;20;
