tblcomisaria_id;oficio;fdenuncia;fformalizacion;expediente;calificacion;hora;faudiencia;remitido;oficioremitido;fremision;ministerio;tblinstancia_id;asistencialegal;psicologia;tblmodulo_id;medida_file;institucion;tbldenuncia_id;fmedida
11;007-2019;2019-01-11;2019-01-14;235-2019;Ha lugar;00:00;2019-01-16;Ministerio Público;267-2019;2019-02-07;;38;0;0;30;/img/denuncia/file_medida_235-2019_1554262592.pdf;1;3;2019-04-16
6;23-2019;2019-01-08;2019-01-14;245-2019;No ha lugar;09:30;2019-01-18;Ministerio Público;339-2019;2019-02-06;;38;0;0;30;/img/denuncia/file_medida__1554263831.pdf;1;2;
6;22-2019;2019-01-09;2019-01-14;248-2019;Ha lugar;10:00;2019-01-18;;;;;38;0;0;30;/img/denuncia/file_medida__1554264489.pdf;1;2;2019-01-18
8;83-2019;2019-01-09;2019-01-14;249-2019;No ha lugar;00:00;2019-01-18;Ministerio Público;283-2019;2019-01-23;;38;0;0;30;/img/denuncia/file_medida__1554297479.pdf;1;1;2019-01-18
;;;;254-2019;No ha lugar;15:30;2019-01-18;Ministerio Público;288-2019;2019-01-07;1;38;0;0;30;/img/denuncia/file_medida__1554298237.pdf;1;;2019-01-18
;;;;255-2019;Ha lugar;14:00;2019-01-18;Ministerio Público;330-2019;2019-02-06;;38;0;0;30;/img/denuncia/file_medida__1554299119.pdf;1;;2019-01-18
;;;;257-2019;Ha lugar;16:30;2019-01-19;Ministerio Público;292-2019;2019-01-23;1;38;0;0;30;/img/denuncia/file_medida__1554300153.pdf;1;;2019-01-19
;;;;260-2019;Ha lugar;16:50;2019-01-18;;;;;38;0;0;30;/img/denuncia/file_medida__1554300579.pdf;1;;2019-01-18
10;85-2019;2018-01-12;2019-01-14;262-2019;No ha lugar;11:00;2019-01-18;Ministerio Público;282-2019;2019-01-23;;38;0;0;30;/img/denuncia/file_medida__1554301681.pdf;1;1;
10;87-2019;2019-01-12;2019-01-14;265-2019;;00:00;;;;;;38;0;0;30;;1;1;
10;20-2019;2019-01-09;2019-01-14;266-2019;No ha lugar;12:30;2019-01-18;Ministerio Público;277-2019;2019-02-06;;38;0;0;30;/img/denuncia/file_medida__1554309696.pdf;1;1;
6;26-2019;2019-01-09;2019-01-14;268-2019;Ha lugar;12:00;2019-01-18;;;;1;38;0;0;30;/img/denuncia/file_medida__1554310792.pdf;1;1;2019-01-18
