comisaria;oficio;fdenuncia;fformalizacion;expediente;calificacion;hora;fecha_audiencia;remitira;oficioremitido;fecha_audienciaremision;ministerio;instancia;asistencialegal;psicologia;id_modulo;medida_file
;;;2019-01-04;00001-2019-0-3301-JR-CI-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00001-2019-0-3301-JR-FT-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00001-2019-0-3301-JR-FT-01;;;;;;;;58;0;0;33;
;;;2019-01-03;00001-2019-0-3301-JR-CI-01;;;;;;;;59;0;0;33;
;;;2019-01-03;00002-2019-0-3301-JR-FT-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00002-2019-0-3301-JR-FC-01;;;;;;;;58;0;0;33;
;;;2019-01-03;00002-2019-0-3301-JR-FT-01;;;;;;;;60;0;0;33;
;;;2019-01-04;00002-2019-0-3301-JR-CI-01;;;;;;2019-01-18;;59;0;0;33;
;;;2019-01-15;00003-2019-0-3301-JR-CI-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00003-2019-0-3301-JR-FT-01;;;;;;2019-02-01;;61;0;0;33;
149;06-2019-REGPOL-CALLAO/DIVOPUS-3;;2019-01-03;00003-2019-0-3301-JR-FT-01;;;;;;2019-02-01;;58;0;0;33;
;;;2019-01-04;00003-2019-0-3301-JR-FT-01;;;;;;2019-02-01;;60;0;0;33;
;;;2019-01-04;00003-2019-0-3301-JR-CI-01;;;;;;;;59;0;0;33;
;;;2019-01-03;00003-2019-0-3301-JR-FT-01;;;;;;2019-02-01;;59;0;0;33;
;;;2019-01-17;00004-2019-0-3301-JR-CI-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00004-2019-0-3301-JR-FT-01;;;;;;2019-01-28;;61;0;0;33;
;;;2019-01-03;00004-2019-0-3301-JR-FT-01;;;;;;2019-01-28;;57;0;0;33;
;;;2019-01-03;00004-2019-0-3301-JR-CI-01;;;;;;;;60;0;0;33;
;;;2019-01-04;00004-2019-0-3301-JR-FT-01;;;;;;2019-01-28;;60;0;0;33;
;;;2019-01-08;00004-2019-0-3301-JR-CI-01;;;;;;;;59;0;0;33;
;;;2019-01-03;00004-2019-0-3301-JR-FT-01;;;;;;2019-01-28;;59;0;0;33;
;;;2019-01-18;00005-2019-0-3301-JR-CI-01;;;;;;;;61;0;0;33;
;;;2019-01-03;00005-2019-0-3301-JR-FT-01;;;;;;2019-01-23;;61;0;0;33;
;;;2019-01-03;00005-2019-0-3301-JR-FT-01;;;;;;2019-01-23;;58;0;0;33;
;;;2019-01-16;00005-2019-0-3301-JR-CI-01;;;;;;;;60;0;0;33;
