expediente;fecha_remision
01968-2018-0-3301-JR-FT-01;2019-02-07
01067-2018-0-3301-JR-FP-01;2019-01-30
00562-2017-0-3301-JR-FT-01;2019-01-28
01391-2018-0-3301-JR-FP-01;2019-01-18
00238-2015-0-3301-JR-FC-01;2019-01-18
01308-2017-0-3301-JR-FC-01;2019-01-17
01974-2017-0-3301-JR-FC-01;2019-01-17
01318-2018-0-3301-JR-FC-01;2019-01-15
01171-2018-0-3301-JR-FT-01;2019-01-14
01879-2017-0-3301-JR-FT-01;2019-01-03
01563-2018-0-3301-JR-FT-01;2019-01-03
00041-2018-0-3301-JR-FT-01;2019-01-03
00253-2018-0-3301-JR-FT-01;2019-01-03
00033-2018-0-3301-JR-FT-01;2019-01-03
02072-2017-0-3301-JR-FT-01;2019-01-03
00562-2018-0-3301-JR-FC-01;2019-01-02
00045-2016-0-3301-JR-FT-01;2019-01-31
00061-2016-0-3301-JR-FT-01;2019-01-31
00057-2016-0-3301-JR-FT-01;2019-01-18
00015-2016-0-3301-JR-FT-01;2019-01-18
00073-2016-0-3301-JR-FT-01;2019-01-18
00065-2016-0-3301-JR-FT-01;2019-01-09
00104-2016-0-3301-JR-FT-01;2019-01-09
00067-2016-0-3301-JR-FT-01;2019-01-09
00047-2016-0-3301-JR-FC-01;2019-01-09
00031-2016-0-3301-JR-FC-01;2019-01-09
00043-2019-0-3301-JR-FT-01;2019-02-07
00016-2019-0-3301-JR-FT-01;2019-02-07
00015-2019-0-3301-JR-FT-01;2019-02-07
01096-2018-0-3301-JR-FT-01;2019-02-07
00058-2019-0-3301-JR-FT-01;2019-02-07
00027-2019-0-3301-JR-FT-01;2019-02-07
00056-2019-0-3301-JR-FT-01;2019-02-07
00063-2019-0-3301-JR-FT-01;2019-02-07
00064-2019-0-3301-JR-FT-01;2019-02-07
00057-2019-0-3301-JR-FT-01;2019-02-07
00087-2019-0-3301-JR-FT-01;2019-02-07
00079-2019-0-3301-JR-FT-01;2019-02-07
00090-2019-0-3301-JR-FT-01;2019-02-07
00089-2019-0-3301-JR-FT-01;2019-02-07
00094-2019-0-3301-JR-FT-01;2019-02-07
00081-2019-0-3301-JR-FT-01;2019-02-07
00097-2019-0-3301-JR-FT-01;2019-02-07
00083-2019-0-3301-JR-FT-01;2019-02-07
00084-2019-0-3301-JR-FT-01;2019-02-06
00092-2019-0-3301-JR-FT-01;2019-02-06
00093-2019-0-3301-JR-FT-01;2019-02-06
00075-2019-0-3301-JR-FT-01;2019-02-06
00088-2019-0-3301-JR-FT-01;2019-02-06
00095-2019-0-3301-JR-FT-01;2019-02-06
00077-2019-0-3301-JR-FT-01;2019-02-06
00076-2019-0-3301-JR-FT-01;2019-02-06
00045-2019-0-3301-JR-FT-01;2019-02-06
00071-2019-0-3301-JR-FT-01;2019-02-06
00096-2019-0-3301-JR-FT-01;2019-02-06
00078-2019-0-3301-JR-FT-01;2019-02-06
00051-2019-0-3301-JR-FT-01;2019-02-06
00033-2019-0-3301-JR-FT-01;2019-02-06
00050-2019-0-3301-JR-FT-01;2019-02-06
00037-2019-0-3301-JR-FT-01;2019-02-06
00046-2019-0-3301-JR-FT-01;2019-02-06
00034-2019-0-3301-JR-FT-01;2019-02-06
00035-2019-0-3301-JR-FT-01;2019-02-06
00038-2019-0-3301-JR-FT-01;2019-02-06
00052-2019-0-3301-JR-FT-01;2019-02-06
00041-2019-0-3301-JR-FT-01;2019-02-06
00042-2019-0-3301-JR-FT-01;2019-02-06
00039-2019-0-3301-JR-FT-01;2019-02-06
00616-2018-0-3301-JR-FT-01;2019-02-01
00595-2018-0-3301-JR-FT-01;2019-02-01
00699-2018-0-3301-JR-FT-01;2019-02-01
00468-2018-0-3301-JR-FT-01;2019-02-01
00548-2018-0-3301-JR-FT-01;2019-02-01
00274-2018-0-3301-JR-FT-01;2019-02-01
01049-2018-0-3301-JR-FT-01;2019-02-01
01030-2018-0-3301-JR-FT-01;2019-02-01
01020-2018-0-3301-JR-FT-01;2019-02-01
00519-2018-0-3301-JR-FT-01;2019-02-01
00701-2017-0-3301-JR-FT-01;2019-02-01
00022-2019-0-3301-JR-FT-01;2019-02-01
00048-2019-0-3301-JR-FT-01;2019-02-01
01101-2018-0-3301-JR-FT-01;2019-02-01
00011-2019-0-3301-JR-FT-01;2019-02-01
01097-2018-0-3301-JR-FT-01;2019-02-01
00054-2019-0-3301-JR-FT-01;2019-02-01
00055-2019-0-3301-JR-FT-01;2019-02-01
01098-2018-0-3301-JR-FT-01;2019-02-01
00003-2019-0-3301-JR-FT-01;2019-02-01
00722-2018-0-3301-JR-FC-01;2019-01-31
00834-2018-0-3301-JR-FC-01;2019-01-31
00369-2018-0-3301-JR-FC-01;2019-01-31
00949-2018-0-3301-JR-FC-01;2019-01-31
01003-2018-0-3301-JR-FC-01;2019-01-31
00411-2017-0-3301-JR-FC-01;2019-01-31
00418-2018-0-3301-JR-FT-01;2019-01-31
00804-2018-0-3301-JR-FT-01;2019-01-31
00278-2018-0-3301-JR-FT-01;2019-01-31
00495-2017-0-3301-JR-FT-01;2019-01-31
00862-2018-0-3301-JR-FT-01;2019-01-31
00962-2018-0-3301-JR-FT-01;2019-01-31
00828-2017-0-3301-JR-FT-01;2019-01-31
00532-2017-0-3301-JR-FT-01;2019-01-31
00603-2017-0-3301-JR-FT-01;2019-01-31
00795-2017-0-3301-JR-FT-01;2019-01-31
00667-2017-0-3301-JR-FT-01;2019-01-31
00803-2018-0-3301-JR-FT-01;2019-01-31
00801-2018-0-3301-JR-FT-01;2019-01-31
00304-2017-0-3301-JR-FT-01;2019-01-31
01091-2018-0-3301-JR-FT-01;2019-01-31
01077-2018-0-3301-JR-FT-01;2019-01-31
00019-2019-0-3301-JR-FT-01;2019-01-31
01081-2018-0-3301-JR-FT-01;2019-01-31
01093-2018-0-3301-JR-FT-01;2019-01-28
00021-2019-0-3301-JR-FT-01;2019-01-28
01100-2018-0-3301-JR-FT-01;2019-01-28
00020-2019-0-3301-JR-FT-01;2019-01-28
00004-2019-0-3301-JR-FT-01;2019-01-28
01090-2018-0-3301-JR-FT-01;2019-01-28
00017-2018-0-3301-JR-CI-01;2019-01-28
01025-2018-0-3301-JR-FC-01;2019-01-25
01088-2018-0-3301-JR-FT-01;2019-01-24
01104-2018-0-3301-JR-FT-01;2019-01-24
00006-2019-0-3301-JR-FT-01;2019-01-24
01084-2018-0-3301-JR-FT-01;2019-01-24
00018-2019-0-3301-JR-FT-01;2019-01-24
00012-2019-0-3301-JR-FT-01;2019-01-23
00010-2019-0-3301-JR-FT-01;2019-01-23
00024-2019-0-3301-JR-FT-01;2019-01-23
00008-2019-0-3301-JR-FT-01;2019-01-23
01094-2018-0-3301-JR-FT-01;2019-01-23
00023-2019-0-3301-JR-FT-01;2019-01-23
00017-2019-0-3301-JR-FT-01;2019-01-23
00005-2019-0-3301-JR-FT-01;2019-01-23
00025-2019-0-3301-JR-FT-01;2019-01-23
00957-2018-0-3301-JR-FC-01;2019-01-22
00643-2018-0-3301-JR-FC-01;2019-01-22
00865-2018-0-3301-JR-FT-01;2019-01-18
00939-2018-0-3301-JR-FT-01;2019-01-18
00796-2018-0-3301-JR-FT-01;2019-01-18
00681-2018-0-3301-JR-FT-01;2019-01-18
00175-2017-0-3301-JR-FT-01;2019-01-18
00428-2018-0-3301-JR-FT-01;2019-01-18
00164-2016-0-3301-JR-FT-01;2019-01-18
00882-2017-0-3301-JR-FT-01;2019-01-18
00205-2017-0-3301-JR-FT-01;2019-01-18
00242-2018-0-3301-JR-FT-01;2019-01-18
00358-2017-0-3301-JR-FT-01;2019-01-18
00553-2017-0-3301-JR-FT-01;2019-01-18
00131-2018-0-3301-JR-CI-01;2019-01-18
00002-2019-0-3301-JR-CI-01;2019-01-18
00224-2017-0-3301-JR-CI-01;2019-01-16
01059-2018-0-3301-JR-FT-01;2019-01-16
01055-2018-0-3301-JR-FT-01;2019-01-16
01014-2018-0-3301-JR-FT-01;2019-01-16
01068-2018-0-3301-JR-FT-01;2019-01-16
01065-2018-0-3301-JR-FT-01;2019-01-16
01066-2018-0-3301-JR-FT-01;2019-01-16
01063-2018-0-3301-JR-FT-01;2019-01-16
01071-2018-0-3301-JR-FT-01;2019-01-16
01047-2018-0-3301-JR-FT-01;2019-01-16
01016-2018-0-3301-JR-FT-01;2019-01-16
00007-2019-0-3301-JR-FT-01;2019-01-16
01086-2018-0-3301-JR-FT-01;2019-01-16
01012-2018-0-3301-JR-FT-01;2019-01-16
01058-2018-0-3301-JR-FT-01;2019-01-16
00684-2017-0-3301-JR-FT-01;2019-01-10
00715-2017-0-3301-JR-FT-01;2019-01-10
00660-2017-0-3301-JR-FT-01;2019-01-10
00687-2017-0-3301-JR-FT-01;2019-01-10
00713-2017-0-3301-JR-FT-01;2019-01-10
00728-2017-0-3301-JR-FT-01;2019-01-10
01035-2018-0-3301-JR-FT-01;2019-01-10
00996-2018-0-3301-JR-FT-01;2019-01-10
00992-2018-0-3301-JR-FT-01;2019-01-10
01036-2018-0-3301-JR-FT-01;2019-01-10
01026-2018-0-3301-JR-FT-01;2019-01-10
01037-2018-0-3301-JR-FT-01;2019-01-10
00999-2018-0-3301-JR-FT-01;2019-01-10
01000-2018-0-3301-JR-FT-01;2019-01-10
01052-2018-0-3301-JR-FT-01;2019-01-10
00993-2018-0-3301-JR-FT-01;2019-01-10
01010-2018-0-3301-JR-FT-01;2019-01-10
01009-2018-0-3301-JR-FT-01;2019-01-10
01007-2018-0-3301-JR-FT-01;2019-01-10
00972-2018-0-3301-JR-FT-01;2019-01-09
00432-2018-0-3301-JR-FT-01;2019-01-09
00479-2018-0-3301-JR-FT-01;2019-01-09
00460-2018-0-3301-JR-FT-01;2019-01-09
00118-2017-0-3301-JR-FT-01;2019-01-09
00927-2018-0-3301-JR-FC-01;2019-01-09
00870-2018-0-3301-JR-FC-01;2019-01-09
00552-2018-0-3301-JR-FC-01;2019-01-09
00638-2018-0-3301-JR-FC-01;2019-01-09
00700-2018-0-3301-JR-FC-01;2019-01-09
00615-2018-0-3301-JR-FC-01;2019-01-09
00645-2018-0-3301-JR-FC-01;2019-01-09
00635-2018-0-3301-JR-FC-01;2019-01-09
00305-2018-0-3301-JR-FT-01;2019-01-09
00168-2016-0-3301-JR-FT-01;2019-01-09
00654-2018-0-3301-JR-FT-01;2019-01-09
00594-2017-0-3301-JR-FT-01;2019-01-09
00418-2017-0-3301-JR-FT-01;2019-01-09
00037-2017-0-3301-JR-FT-01;2019-01-09
00666-2017-0-3301-JR-FT-01;2019-01-09
00060-2017-0-3301-JR-FT-01;2019-01-09
00589-2018-0-3301-JR-FT-01;2019-01-09
00593-2018-0-3301-JR-FT-01;2019-01-09
00614-2018-0-3301-JR-FT-01;2019-01-09
00565-2017-0-3301-JR-FT-01;2019-01-09
00520-2017-0-3301-JR-FT-01;2019-01-09
00269-2017-0-3301-JR-FT-01;2019-01-09
00483-2018-0-3301-JR-FT-01;2019-01-09
00536-2017-0-3301-JR-FT-01;2019-01-09
00544-2018-0-3301-JR-FT-01;2019-01-09
00654-2017-0-3301-JR-FT-01;2019-01-09
00677-2017-0-3301-JR-FT-01;2019-01-09
00216-2017-0-3301-JR-FT-01;2019-01-09
00602-2017-0-3301-JR-FT-01;2019-01-09
00139-2017-0-3301-JR-FT-01;2019-01-09
00490-2018-0-3301-JR-FT-01;2019-01-09
00551-2017-0-3301-JR-FT-01;2019-01-09
00170-2017-0-3301-JR-FT-01;2019-01-09
00529-2018-0-3301-JR-FT-01;2019-01-09
00575-2017-0-3301-JR-FT-01;2019-01-09
00514-2017-0-3301-JR-FT-01;2019-01-09
00498-2017-0-3301-JR-FT-01;2019-01-09
00026-2017-0-3301-JR-FT-01;2019-01-09
00611-2018-0-3301-JR-FT-01;2019-01-09
00176-2016-0-3301-JR-FT-01;2019-01-09
00639-2017-0-3301-JR-FT-01;2019-01-09
00386-2017-0-3301-JR-FT-01;2019-01-09
00545-2018-0-3301-JR-FT-01;2019-01-09
00262-2017-0-3301-JR-FT-01;2019-01-09
00599-2017-0-3301-JR-FT-01;2019-01-09
00763-2018-0-3301-JR-FT-01;2019-01-09
00733-2018-0-3301-JR-FT-01;2019-01-09
00506-2017-0-3301-JR-FT-01;2019-01-09
00560-2017-0-3301-JR-FT-01;2019-01-09
00194-2017-0-3301-JR-FT-01;2019-01-09
00241-2017-0-3301-JR-FP-01;2019-01-09
