expdiente;fremision
00701-2017-0-3301-JR-FT-01_59;2019-02-28
00616-2018-0-3301-JR-FT-01_59;2019-02-28
00116-2019-0-3301-JR-FT-01_59;2019-02-13
00117-2019-0-3301-JR-FT-01_59;2019-02-13
00119-2019-0-3301-JR-FT-01_59;2019-03-01
00123-2019-0-3301-JR-FT-01_59;2019-02-28
00124-2019-0-3301-JR-FT-01_59;2019-03-01
00126-2019-0-3301-JR-FT-01_59;2019-02-21
00127-2019-0-3301-JR-FT-01_59;2019-02-21
00129-2019-0-3301-JR-FT-01_59;2019-02-28
00130-2019-0-3301-JR-FT-01_59;2019-02-21
00131-2019-0-3301-JR-FT-01_59;2019-02-21
00132-2019-0-3301-JR-FT-01_59;2019-02-28
00135-2019-0-3301-JR-FT-01_59;2019-02-21
00136-2019-0-3301-JR-FT-01_59;2019-02-21
00138-2019-0-3301-JR-FT-01_59;2019-02-22
00468-2018-0-3301-JR-FT-01_59;2019-02-28
00548-2018-0-3301-JR-FT-01_59;2019-02-28
00662-2018-0-3301-JR-FT-01_61;2019-03-01
02355-2018-0-3301-JR-FT-01_58;2019-02-12
00104-2019-0-3301-JR-FT-01_59;2019-02-28
00105-2019-0-3301-JR-FT-01_59;2019-02-28
00112-2019-0-3301-JR-FT-01_59;2019-02-14
00114-2019-0-3301-JR-FT-01_59;2019-02-21
00115-2019-0-3301-JR-FT-01_59;2019-02-13
00197-2019-0-3301-JR-FT-01_59;2019-03-05
00198-2019-0-3301-JR-FT-01_59;2019-03-05
00199-2019-0-3301-JR-FT-01_59;2019-03-05
00200-2019-0-3301-JR-FT-01_59;2019-03-05
00201-2019-0-3301-JR-FT-01_59;2019-03-05
00208-2019-0-3301-JR-FT-01_59;2019-03-06
00221-2019-0-3301-JR-FT-01_59;2019-03-06
00757-2017-0-3301-JR-FT-01_61;2019-02-13
00519-2018-0-3301-JR-FT-01_59;2019-02-28
00595-2018-0-3301-JR-FT-01_59;2019-02-28
00721-2018-0-3301-JR-FT-01_61;2019-03-01
00871-2018-0-3301-JR-FT-01_61;2019-03-06
01020-2018-0-3301-JR-FT-01_59;2019-02-28
01030-2018-0-3301-JR-FT-01_59;2019-02-28
00039-2019-0-3301-JR-FC-01_58;2019-03-06
00171-2019-0-3301-JR-FT-01_59;2019-03-01
00172-2019-0-3301-JR-FT-01_59;2019-03-01
00175-2019-0-3301-JR-FT-01_59;2019-03-01
00274-2018-0-3301-JR-FT-01_59;2019-02-28
00778-2018-0-3301-JR-FT-01_61;2019-03-01
00897-2018-0-3301-JR-FT-01_61;2019-03-01
01049-2018-0-3301-JR-FT-01_59;2019-02-28
02014-2018-0-3301-JR-FT-01_58;2019-02-12
00021-2019-0-3301-JR-CI-01_59;2019-02-20
00023-2019-0-3301-JR-CI-01_59;2019-02-20
00140-2019-0-3301-JR-FT-01_59;2019-02-21
00141-2019-0-3301-JR-FT-01_59;2019-02-21
00143-2019-0-3301-JR-FT-01_59;2019-03-05
00144-2019-0-3301-JR-FT-01_59;2019-02-21
00145-2019-0-3301-JR-FT-01_59;2019-02-28
00147-2019-0-3301-JR-FT-01_59;2019-02-26
00148-2019-0-3301-JR-FT-01_59;2019-02-21
00150-2019-0-3301-JR-FT-01_59;2019-02-21
00151-2019-0-3301-JR-FT-01_59;2019-02-21
00152-2019-0-3301-JR-FT-01_59;2019-02-21
00154-2019-0-3301-JR-FT-01_59;2019-02-22
00155-2019-0-3301-JR-FT-01_59;2019-03-05
00156-2019-0-3301-JR-FT-01_59;2019-03-01
00157-2019-0-3301-JR-FT-01_59;2019-03-01
00160-2019-0-3301-JR-FT-01_59;2019-03-01
00165-2019-0-3301-JR-FT-01_59;2019-03-01
00166-2019-0-3301-JR-FT-01_59;2019-02-28
00167-2019-0-3301-JR-FT-01_59;2019-03-01
00169-2019-0-3301-JR-FT-01_59;2019-03-01
